,word,idf
17,东西,13.46666667
2,走,20.2
6,树,20.2
380,多梦,25.25
37,家,33.66666667
533,梦火,40.4
147,找,40.4
53,厕所,40.4
94,水,40.4
154,找水,50.5
60,掉,50.5
330,山林,50.5
47,有人,50.5
46,家里,50.5
45,肮脏,50.5
435,坠落,50.5
111,太阳,50.5
146,丢,50.5
106,死,50.5
26,树木,50.5
199,家人,67.33333333
166,追杀,67.33333333
58,蜘蛛,67.33333333
158,吃,67.33333333
200,去世,67.33333333
454,梦呓,67.33333333
11,飞翔,67.33333333
144,考试,67.33333333
452,伴随,67.33333333
312,地震,67.33333333
443,惊,67.33333333
427,遗,67.33333333
4,树林,67.33333333
438,魇,67.33333333
432,失眠,67.33333333
1,火,67.33333333
102,性梦,67.33333333
204,大火,67.33333333
372,反复,67.33333333
33,苔藓,67.33333333
196,狗,67.33333333
286,吵架,67.33333333
198,离婚,67.33333333
287,纠纷,67.33333333
31,长,67.33333333
182,塌,101
442,恐吓,101
184,土地,101
128,跑,101
201,发大水,101
130,哭醒,101
288,饥饿,101
500,死亡,101
441,梦寐,101
195,猫,101
516,溺水,101
110,血,101
123,蟑螂,101
307,逃跑,101
489,遗尿,101
531,舟船,101
294,大哭,101
295,上房,101
458,呓言,101
524,惊醒,101
155,喝,101
433,梦魇,101
300,渴,101
302,饿,101
453,鬼魅,101
150,烧,101
0,森林,101
119,杀人,101
48,搬进,101
405,滑精,101
622,丘陵,101
623,沼泽,101
358,跳,101
18,飞,101
36,朽木,101
70,稀稀拉拉,101
347,亲人,101
415,灼烧,101
57,蝎子,101
412,大水,101
30,树上,101
12,风,101
105,死去,101
610,饮食,101
608,龙,101
402,遗精,101
42,额外,101
609,阳物,101
8,着火,101
89,火烧,101
100,火上,101
101,烤,101
103,鬼,101
104,交,101
43,阴寒,101
482,高处,202
481,空中,202
478,红白,202
475,不平,202
484,易醒,202
505,坏人,202
504,癫痫,202
499,相撞,202
389,不爽,202
483,贼,202
390,而怒,202
494,遇梦则,202
493,方便,202
492,马桶,202
491,到处,202
490,尿急,202
392,房屋,202
393,用水,202
487,飞行,202
485,兵荒马乱,202
403,遗泄,202
472,悲喜交集,202
421,发怒,202
422,手脚,202
450,噩梦,202
448,兵刃,202
447,战争,202
423,捆绑,202
445,心神不安,202
424,动弹,202
426,大旱,202
429,劳作,202
431,哀事,202
440,草木,202
439,干旱,202
506,怪兽,202
436,平素,202
420,欺凌,202
417,恐惧,202
469,予人,202
468,施舍,202
467,悲哭,202
466,呓语,202
465,悲事,202
464,惊怕,202
407,梦滑俱盛,202
473,救火,202
408,频繁,202
409,浸泡,202
410,热水,202
413,淹没,202
456,夜睡,202
455,言,202
416,大笑,202
462,惊惕,202
507,追击,202
615,筑墙,202
616,盖屋,202
617,笑,202
618,唱歌,202
619,沉重,202
624,田野,202
626,交通要道,202
627,法庭,202
628,争辩,202
630,打官司,202
